Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,f1009033,25/06/2020,"£136,718.00",MHR,SOFTWARE,RESOURCES
Rochdale Borough Council,r1002692,25/06/2020,"£62,167.45",ROCHDALE DEVELOPMENT AGENCY,CONTRACTED SERVICES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1020410,25/06/2020,"£10,822.03",CONTACT GROUP,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1087493,24/06/2020,"£10,875.00",BIBLIOGRAPHIC DATA SERVICES LTD,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1009026,24/06/2020,"£18,853.00",SECURITY PLUS LIMITED,TRANSACTIONS-EXPENDITURE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1087486,23/06/2020,"£7,285.48",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087492,23/06/2020,"£16,685.79",FORD MOTOR COMPANY LTD,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003745,23/06/2020,"£52,251.09",KABERRY CONSTRUCTION LIMITED,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph104399,23/06/2020,"£50,700.00",LINK4LIFE CHARITY,LINK 4 LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,x1020404,23/06/2020,"£69,000.00",ACTIVE CARE SOLUTIONS,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087476,22/06/2020,"£8,000.00",STAR TRAQ,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087477,22/06/2020,"£8,750.00",VICTIM SUPPORT,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087478,22/06/2020,"£66,637.50",FORMIDABLE CAPITAL ASSETS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1030466,22/06/2020,"£72,000.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009021,22/06/2020,"£170,423.00",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1009022,22/06/2020,"£78,150.00",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1009023,22/06/2020,"£544,828.00",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1009024,22/06/2020,"£37,807.00",MANCHESTER CITY COUNCIL,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,r1002688,22/06/2020,"£5,733.00",BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025986,22/06/2020,"£24,446.15",CHERISH UK LTD,RESIDENTIAL LONG TERM,COMMISSIONING AND STATUTORY
Rochdale Borough Council,x1020396,22/06/2020,"£58,000.00",SHIELD SUPPORT HUB LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087434,19/06/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087445,19/06/2020,"£12,161.48",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003739,19/06/2020,"£8,796.15",E ON ENERGY SOLUTIONS LTD HIGHWAY LIGHTING,STREET LIGHTING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003740,19/06/2020,"£15,848.00",GTM ELECTRICAL SERVICES LIMITED,REPAIRS & ALTS OF BUILDINGS,ECONOMY DIRECTORATE
Rochdale Borough Council,f1009018,19/06/2020,"£29,249.22",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d2002476,18/06/2020,"£20,000.00",MITAMIRRI LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003734,18/06/2020,"£362,704.77",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003738,18/06/2020,"£7,526.25",AECOM LIMITED,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030456,18/06/2020,"£20,000.00",PARADIGM PROFESSIONAL CONSULTANCY LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,r1002687,18/06/2020,"£15,000.00",PRICE WATERHOUSE COOPERS,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1020387,18/06/2020,"£30,900.00",CAPSTONE FOSTER CARE,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020388,18/06/2020,"£36,900.00",CAPSTONE FOSTER CARE,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020389,18/06/2020,"£169,000.00",MEADOWS CARE LIMITED,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087416,17/06/2020,"£6,241.20",EARLEY ORNAMENTALS LTD,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002475,17/06/2020,"£9,122.10",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003729,17/06/2020,"£7,500.00",DDH FABRICATIONS LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003731,17/06/2020,"£9,500.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030446,17/06/2020,"£10,272.48",AXIOM EDUCATION ROCHDALE LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030450,17/06/2020,"£14,256.66",AURORA BRAMBLES SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030451,17/06/2020,"£5,165.70",ST EDWARDS RC PRIMARY SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030452,17/06/2020,"£18,236.82",KEDLESTON MILL SCHOOL LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002685,17/06/2020,"£1,753,055.25",CBRE LTD,RENTS,ECONOMY DIRECTORATE
Rochdale Borough Council,d1087413,16/06/2020,"£15,370.00",OLDHAM AND ROCHDALE GROUNDWORK TRUST LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002473,16/06/2020,"£15,000.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003721,16/06/2020,"£40,000.00",TAZIKER INDUSTRAIL LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003722,16/06/2020,"£6,845.00",CFA ARCHAEOLOGY LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,d3003723,16/06/2020,"£5,230.00",STRATA RENEWABLES LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003724,16/06/2020,"£5,000.00",HOWDENS JOINERY CO LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003726,16/06/2020,"£11,465.56",AXIOM UTILITIES LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,x1020369,16/06/2020,"£5,000.00",DEPAUL UK,YOUNGE PERSONS ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020372,16/06/2020,"£22,000.00",LIFETIME OPPORTUNITIES,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087409,15/06/2020,"£11,400.00",CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087410,15/06/2020,"£26,976.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d2002469,15/06/2020,"£8,318.60",XMA LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1020358,15/06/2020,"£10,000.00",MILLENNIUM TRANSLATIONS LTD,TRANSLATION & INTERPRETATION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020361,15/06/2020,"£61,900.00",CFS CARE LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020362,15/06/2020,"£38,600.00",THREE CIRCLES FOSTERING,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2002462,12/06/2020,"£6,098.21",XMA LIMITED,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003714,12/06/2020,"£26,650.00",UNITY PARTNERSHIP LTD,CONSULTANTS FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002678,12/06/2020,"£5,733.00",BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002680,12/06/2020,"£22,414.65",ROCHDALE DEVELOPMENT AGENCY,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,x1020350,12/06/2020,"£10,000.00",FOX AND ASSOCIATES CONSULTING LTD,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020352,12/06/2020,"£16,000.00",FOX AND ASSOCIATES CONSULTING LTD,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087379,11/06/2020,"£8,238.33",F S MOULT AND SON,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087381,11/06/2020,"£33,100.00",QUALITY BROADFIELD PARK HOTEL,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002459,11/06/2020,"£14,837.63",AGILE APPLICATIONS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003705,11/06/2020,"£5,000.00",ROCHDALE GLASS AND GLAZING CO LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030432,11/06/2020,"£20,000.00",PARADIGM PROFESSIONAL CONSULTANCY LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,r1002670,11/06/2020,"£16,130.63",BLOOM PROCUREMENT SERVICES LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002671,11/06/2020,"£26,000.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002672,11/06/2020,"£13,600.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002673,11/06/2020,"£30,250.00",WSP LTD UK,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002674,11/06/2020,"£15,370.00",WSP LTD UK,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002676,11/06/2020,"£23,750.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002676,11/06/2020,"£23,750.00",WSP LTD UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030429,10/06/2020,"£42,807.00",TRANSPORT FOR GREATER MANCHESTER,STUDENT TRAVEL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1087356,10/06/2020,"£6,250.00",SPAREPARTS  FESTIVAL,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003703,10/06/2020,"£15,518.29",CANAL AND RIVER TRUST,SUPPLIES AND SERVICES PROVISION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030425,10/06/2020,"£131,018.55",HOPWOOD HALL COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030426,10/06/2020,"£22,000.00",HOPWOOD HALL COLLEGE,SEN COSTS MET BY SCHOOLS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009007,10/06/2020,"£18,852.24",SECURITY PLUS LIMITED,TRANSACTIONS-EXPENDITURE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009008,10/06/2020,"£15,840.00",MHR,SOFTWARE,RESOURCES
Rochdale Borough Council,r1002667,10/06/2020,"£190,000.00",ROCHDALE DEVELOPMENT AGENCY,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1020336,10/06/2020,"£64,860.00",SHIELD SUPPORT HUB LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020337,10/06/2020,"£39,400.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020338,10/06/2020,"£39,400.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020339,10/06/2020,"£39,000.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020340,10/06/2020,"£144,700.00",KEY2 MOVINGON,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020341,10/06/2020,"£13,800.00",STEPPING STONE PROJECTS,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3003697,09/06/2020,"£70,200.00",UNITY PARTNERSHIP LTD,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003698,09/06/2020,"£220,000.00",HOVINGTON LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030410,09/06/2020,"£7,875.00",PSYCHOLOGY PEOPLE,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030411,09/06/2020,"£22,000.00",TIMEOUT CHILDRENS HOMES LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030413,09/06/2020,"£5,425.00",PENNINE CARE IN PATIENT SERVICES PRIORY,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030419,09/06/2020,"£10,887.00",ERNST AND YOUNG LLP,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030421,09/06/2020,"£27,836.15",THE TOGETHER TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030422,09/06/2020,"£30,314.69",THE TOGETHER TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002663,09/06/2020,"£25,812.17",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,x1020328,09/06/2020,"£20,000.00",POSSABILITIES CIC TRADING,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020334,09/06/2020,"£85,000.00",CAPSTONE FOSTER CARE,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2002450,08/06/2020,"£190,000.00",XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003687,08/06/2020,"£222,247.00",FRS ROOFING SERVICES LIMITED,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003688,08/06/2020,"£213,117.00",FRS ROOFING SERVICES LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003689,08/06/2020,"£21,872.00",CLICK FIRE AND SECURITY LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003690,08/06/2020,"£9,500.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,d3003693,08/06/2020,"£71,574.26",SYNTAX CONTROLS LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030406,08/06/2020,"£8,745.52",ERNST AND YOUNG LLP,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030407,08/06/2020,"£14,794.98",ERNST AND YOUNG LLP,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009003,08/06/2020,"£72,632.00",GALLAGHER BASSETT INTERNATIONAL LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1009004,08/06/2020,"£17,595.65",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1009006,08/06/2020,"£32,045.50",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d2002448,05/06/2020,"£13,475.00",SMARTLOGIC SEMAPHORE LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003681,05/06/2020,"£99,000.00",UNITY PARTNERSHIP LTD,CONSULTANTS FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002660,05/06/2020,"£5,000.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,w1002102,05/06/2020,"£525,073.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1087295,04/06/2020,"£14,637.00",SSI SCHAEFER LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087296,04/06/2020,"£5,000.00",WSP LTD UK,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1087306,04/06/2020,"£23,243.30",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087307,04/06/2020,"£19,684.40",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087314,04/06/2020,"£9,045.00",OLDHAM COUNCIL,SUPPLIES AND SERVICES PROVISION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002444,04/06/2020,"£8,051.87",ALIGNED ASSETS LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003676,04/06/2020,"£15,848.00",GTM ELECTRICAL SERVICES LIMITED,REPAIRS & ALTS OF BUILDINGS,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030399,04/06/2020,"£1,350,000.00",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030400,04/06/2020,"£2,875,000.00",AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009000,04/06/2020,"£7,692.00",OLDHAM MBC,OCCUPATIONAL HEALTH,RESOURCES
Rochdale Borough Council,f1009001,04/06/2020,"£20,630.00",NORTH WEST EMPLOYERS,SUBSCRIPTIONS,RESOURCES
Rochdale Borough Council,r1002656,04/06/2020,"£402,340.55",CBRE LTD,RENTS,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002657,04/06/2020,"£6,600.00",INFINITE 3D LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2002439,03/06/2020,"£13,066.15",PAM ASSESSMENTS LIMITED,SOFTWARE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3003668,03/06/2020,"£1,310,629.46",BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4002907,03/06/2020,"£5,392.51",H BELL AND SONS ROCHDALE LTD,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008996,03/06/2020,"£47,241.60",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008997,03/06/2020,"£16,154.98",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008998,03/06/2020,"£711,553.92",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008999,03/06/2020,"£424,063.91",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,ph104377,03/06/2020,"£22,916.66",ACTION TOGETHER,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,x1020313,03/06/2020,"£5,132.00",CARE 4 CHILDREN RESIDENTIAL SERVICES,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1087265,02/06/2020,"£38,938.54",A J COCKER ASSOCIATES LIMITED,CONDITION SURVEYS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087271,02/06/2020,"£7,500.00",ROCHDALE MEMORIAL SERVICE LTD,MATERIAL - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087276,02/06/2020,"£9,680.00",DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1087277,02/06/2020,"£12,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1030385,02/06/2020,"£292,412.43",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030388,02/06/2020,"£15,950.00",THE UNIVERSITY OF MANCHESTER,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030389,02/06/2020,"£1,475,000.00",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030389,02/06/2020,"£1,475,000.00",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030389,02/06/2020,"£1,475,000.00",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008987,02/06/2020,"£23,968.40",TOPMARK CLAIMS MANAGEMENT LTD IMPREST,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008991,02/06/2020,"£22,848.00",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008992,02/06/2020,"£5,564.16",ARTHUR J GALLAGHER INSURANCE LTD,INSURANCE,RESOURCES
Rochdale Borough Council,f1008993,02/06/2020,"£7,430.46",ARTHUR J GALLAGHER INSURANCE LTD,TRANSACTIONS-EXPENDITURE,RESOURCES
