Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,w1002138,23/09/2020,"£5,799.40",SALFORD CITY COUNCIL,SUBSCRIPTIONS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,w1002139,23/09/2020,"£46,607.14",QUALIA CARE LTD,SERVICE LEVEL AGREEMENTS,COMMISSIONING AND STATUTORY
Rochdale Borough Council,x1020768,23/09/2020,"£18,000.00",FOSTERING SOLUTIONS LTD,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1088344,22/09/2020,"£6,800.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088348,22/09/2020,"£13,749.37",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002613,22/09/2020,"£6,063.75",NETCONSULT ONLINE LTD,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004099,22/09/2020,"£8,135.20",GINGER LEHMANN LTD,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004100,22/09/2020,"£422,392.68",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004101,22/09/2020,"£5,000.00",W J LEWIS BUILDERS MERCHANTS LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030744,22/09/2020,"£20,020.00",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030745,22/09/2020,"£26,566.67",RUSKIN MILL TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030746,22/09/2020,"£21,528.28",BIRTENSHAW HALL SCHOOL,TRAVELLING GENERAL EXPENSES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030747,22/09/2020,"£22,649.32",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030748,22/09/2020,"£19,014.64",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030749,22/09/2020,"£19,014.64",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030750,22/09/2020,"£6,778.38",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1009130,22/09/2020,"£13,958.00",KPMG LLP,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,f1009131,22/09/2020,"£5,000.00",M DYSON ASSOCIATES LIMITED,CONSULTANT FEES,RESOURCES
Rochdale Borough Council,d1088329,21/09/2020,"£5,500.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088330,21/09/2020,"£10,800.00",TRANSPORTATION DIRECT,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088331,21/09/2020,"£10,800.00",TRANSPORTATION DIRECT,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088332,21/09/2020,"£10,800.00",TRANSPORTATION DIRECT,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088333,21/09/2020,"£6,000.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088334,21/09/2020,"£6,800.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004090,21/09/2020,"£23,000.00",XAIS ASSET MANAGEMENT LTD,PURCHASE OF ICT SOFTWARE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030739,21/09/2020,"£17,927.47",AXCIS EDUCATION RECRUITMENT,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002844,21/09/2020,"£6,000.00",FRANK WHITTLE PARTNERSHIP LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002845,21/09/2020,"£102,661.02",P CASEY AND CO LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002846,21/09/2020,"£84,548.09",P CASEY AND CO LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002848,21/09/2020,"£17,484.28",POWNALL PLANT LTD,ENVIRONMENTAL WORKS LANDSCAPE,ECONOMY DIRECTORATE
Rochdale Borough Council,d1088316,18/09/2020,"£50,954.70",FORMIDABLE CAPITAL ASSETS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002611,18/09/2020,"£5,250.00",ARTIFAX SOFTWARE LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4003190,18/09/2020,"£19,500.00",ALLIANCE DISPOSABLES LIMITED,CONSUMABLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1030729,18/09/2020,"£2,875,000.00",AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030730,18/09/2020,"£20,729.00",CAMBIAN CHILDCARE LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030731,18/09/2020,"£16,802.88",TOR VIEW SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1020751,18/09/2020,"£12,104.00",SEDBERGH SCHOOL,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3004076,17/09/2020,"£6,786.50",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004081,17/09/2020,"£8,143.80",J C MILLS & SON LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1030724,17/09/2020,"£18,829.80",RAISE THE YOUTH FOUNDATION CIC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030726,17/09/2020,"£31,494.40",RAISE THE YOUTH FOUNDATION CIC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030727,17/09/2020,"£6,727.28",TEENAGE WORKS,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1088294,16/09/2020,"£15,302.66",VICTIM SUPPORT,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088295,16/09/2020,"£8,752.25",VICTIM SUPPORT,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088296,16/09/2020,"£47,556.46",BIBLIOTHECA,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004064,16/09/2020,"£5,000.00",PARR ROCHDALE LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004065,16/09/2020,"£5,000.00",PARR ROCHDALE LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004066,16/09/2020,"£5,000.00",DDH FABRICATIONS LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004069,16/09/2020,"£7,556.92",TOTAL GAS AND POWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3004071,16/09/2020,"£11,028.80",WALKER GABBOTT ELECTRICAL LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3004072,16/09/2020,"£8,549.00",WALKER GABBOTT ELECTRICAL LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1030715,16/09/2020,"£7,540.00",ORTOO TECHNOLOGIES LTD,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002841,16/09/2020,"£69,128.15",ROCHDALE DEVELOPMENT AGENCY,CONTRACTED SERVICES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1020742,16/09/2020,"£28,900.00",NORTHERN COMMUNITY PATHWAYS LTD,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020743,16/09/2020,"£18,050.00",STEPPING STONE PROJECTS,YOUNG PEOPLES RENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1020745,16/09/2020,"£208,500.00",FORGET ME NOT CHILDRENS HOSPICE,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d4003168,15/09/2020,"£9,436.50",H BELL AND SONS ROCHDALE LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1009126,15/09/2020,"£7,979.50",SALFORD ROYAL NHS FOUNDATION TRUST,CONTRACTED SERVICES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph104519,15/09/2020,"£199,350.00",BARDOC LTD,PROFESSIONAL FEES,PUBLIC HEALTH
Rochdale Borough Council,d1088276,14/09/2020,"£27,576.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d3004055,14/09/2020,"£9,500.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,d4003159,14/09/2020,"£5,000.00",THE PROTON GROUP LIMITED,CLEANING MATERIALS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1009124,14/09/2020,"£50,000.00",CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,f1009125,14/09/2020,"£20,000.00",CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,ph104515,14/09/2020,"£8,604.00",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,ph104516,14/09/2020,"£11,652.00",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d1088215,11/09/2020,"£5,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088220,11/09/2020,"£7,000.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088221,11/09/2020,"£8,200.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088222,11/09/2020,"£5,500.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088223,11/09/2020,"£9,450.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088224,11/09/2020,"£8,650.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088225,11/09/2020,"£8,650.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088226,11/09/2020,"£8,400.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088234,11/09/2020,"£9,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088235,11/09/2020,"£5,200.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088236,11/09/2020,"£6,800.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088237,11/09/2020,"£14,500.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088241,11/09/2020,"£14,900.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088242,11/09/2020,"£9,100.00",GC MINI BUS SERVICES,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088243,11/09/2020,"£8,200.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088245,11/09/2020,"£12,900.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088246,11/09/2020,"£11,500.00",DIAMOND NO1 CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088247,11/09/2020,"£11,500.00",DIAMOND NO1 CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088248,11/09/2020,"£5,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088251,11/09/2020,"£7,500.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088252,11/09/2020,"£5,700.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088253,11/09/2020,"£10,700.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088254,11/09/2020,"£6,800.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088257,11/09/2020,"£11,400.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088258,11/09/2020,"£9,500.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088260,11/09/2020,"£6,000.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088206,11/09/2020,"£27,000.00",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d1088192,10/09/2020,"£8,200.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1088193,10/09/2020,"£8,800.00",CONNECT CARS MIDDLETON LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3004052,10/09/2020,"£5,500.00",ARROW BUSINESS COMMUNICATIONS LTD,TELEPHONE EXPENDITURE,ECONOMY DIRECTORATE
Rochdale Borough Council,e1030695,10/09/2020,"£14,445.00",FRONTLINE DATA LTD,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1026172,10/09/2020,"£6,725.00",GOOD HELP LTD,CONSULTANT FEES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1020716,10/09/2020,"£8,740.00",LIFETIME OPPORTUNITIES,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
